Date,AAPL Val,AAPL Amt,GOOG Val,GOOG Amt,Cash,Total
2011-01-03,47.08,21,301.87,0,11.32,1000
2011-01-04,47.33,0,300.76,3,102.97,1005.25
2011-01-05,47.71,0,304.23,3,102.97,1015.66
2011-01-06,47.68,21,306.44,0,21.01,1022.29
2011-01-07,48.02,21,307.91,0,21.01,1029.43
2011-01-10,48.92,0,306.8,3,127.93,1048.33
2011-01-11,48.81,21,307.7,0,26.02,1051.03
2011-01-12,49.2,21,308.13,0,26.02,1059.22
2011-01-13,49.38,0,308.04,3,138.88,1063.0
2011-01-14,49.78,0,311.78,3,138.88,1074.22
2011-01-18,48.66,22,319.5,0,26.86,1097.38
2011-01-19,48.41,0,315.56,3,145.2,1091.88
2011-01-20,47.53,22,313.07,0,38.75,1084.41
2011-01-21,46.67,22,305.61,0,38.75,1065.49
2011-01-24,48.21,0,305.23,3,183.68,1099.37
2011-01-25,48.77,22,309.65,0,39.69,1112.63
2011-01-26,49.12,0,307.94,3,196.51,1120.33
2011-01-27,49.03,22,308.09,0,42.12,1120.78
2011-01-28,48.01,22,300.19,0,42.12,1098.34
2011-01-31,48.47,22,299.88,0,42.12,1108.46
2011-02-01,49.29,0,305.21,3,210.87,1126.5
2011-02-02,49.19,0,305.69,3,210.87,1127.94
2011-02-03,49.06,22,304.77,0,45.86,1125.18
2011-02-04,49.5,22,305.18,0,45.86,1134.86
2011-02-07,50.27,22,306.84,0,45.86,1151.8
2011-02-08,50.74,22,308.88,0,45.86,1162.14
2011-02-09,51.17,0,307.94,3,247.78,1171.6
2011-02-10,50.65,0,307.91,3,247.78,1171.51
2011-02-11,50.98,23,311.94,0,11.06,1183.6
2011-02-14,51.31,23,313.76,0,11.06,1191.19
2011-02-15,51.41,23,311.76,0,11.06,1193.49
2011-02-16,51.88,0,311.8,3,268.9,1204.3
2011-02-17,51.19,0,312.32,3,268.9,1205.86
2011-02-18,50.08,0,314.72,3,268.9,1213.06
2011-02-22,48.37,24,304.8,0,22.42,1183.3
2011-02-23,48.95,24,305.35,0,22.42,1197.22
2011-02-24,48.98,24,304.11,0,22.42,1197.94
2011-02-25,49.74,24,304.71,0,22.42,1216.18
2011-02-28,50.46,24,306.39,0,22.42,1233.46
2011-03-01,49.9,24,300.08,0,22.42,1220.02
2011-03-02,50.3,24,300.09,0,22.42,1229.62
2011-03-03,51.37,24,304.48,0,22.42,1255.3
2011-03-04,51.43,24,300.01,0,22.42,1256.74
2011-03-07,50.77,0,295.53,4,58.78,1240.9
2011-03-08,50.82,0,295.86,4,58.78,1242.22
2011-03-09,50.35,24,295.59,0,32.74,1241.14
2011-03-10,49.52,24,289.86,0,32.74,1221.22
