Date,AAPL Val,AAPL Amt,GOOG Val,GOOG Amt,Cash,Total
2011-01-03,47.08,0,301.87,3,94.39,1000
2011-01-04,47.33,21,300.76,0,2.74,996.67
2011-01-05,47.71,21,304.23,0,2.74,1004.65
2011-01-06,47.68,0,306.44,3,84.7,1004.02
2011-01-07,48.02,0,307.91,3,84.7,1008.43
2011-01-10,48.92,20,306.8,0,26.7,1005.1
2011-01-11,48.81,0,307.7,3,79.8,1002.9
2011-01-12,49.2,0,308.13,3,79.8,1004.19
2011-01-13,49.38,20,308.04,0,16.32,1003.92
2011-01-14,49.78,20,311.78,0,16.32,1011.92
2011-01-18,48.66,0,319.5,3,31.02,989.52
2011-01-19,48.41,20,315.56,0,9.5,977.7
2011-01-20,47.53,0,313.07,3,20.89,960.1
2011-01-21,46.67,0,305.61,3,20.89,937.72
2011-01-24,48.21,19,305.23,0,20.59,936.58
2011-01-25,48.77,0,309.65,3,18.27,947.22
2011-01-26,49.12,19,307.94,0,8.81,942.09
2011-01-27,49.03,0,308.09,3,16.11,940.38
2011-01-28,48.01,0,300.19,3,16.11,916.68
2011-01-31,48.47,18,299.88,0,43.29,915.75
2011-02-01,49.29,18,305.21,0,43.29,930.51
2011-02-02,49.19,0,305.69,3,11.64,928.71
2011-02-03,49.06,0,304.77,3,11.64,925.95
2011-02-04,49.5,0,305.18,3,11.64,927.18
2011-02-07,50.27,0,306.84,3,11.64,932.16
2011-02-08,50.74,0,308.88,3,11.64,938.28
2011-02-09,51.17,18,307.94,0,14.4,935.46
2011-02-10,50.65,18,307.91,0,14.4,926.1
2011-02-11,50.98,0,311.94,2,308.16,932.04
2011-02-14,51.31,0,313.76,2,308.16,935.68
2011-02-15,51.41,0,311.76,2,308.16,931.68
2011-02-16,51.88,17,311.8,0,49.8,931.76
2011-02-17,51.19,17,312.32,0,49.8,920.03
2011-02-18,50.08,17,314.72,0,49.8,901.16
2011-02-22,48.37,0,304.8,2,262.49,872.09
2011-02-23,48.95,0,305.35,2,262.49,873.19
2011-02-24,48.98,0,304.11,2,262.49,870.71
2011-02-25,49.74,0,304.71,2,262.49,871.91
2011-02-28,50.46,0,306.39,2,262.49,875.27
2011-03-01,49.9,0,300.08,2,262.49,862.65
2011-03-02,50.3,0,300.09,2,262.49,862.67
2011-03-03,51.37,0,304.48,2,262.49,871.45
2011-03-04,51.43,16,300.01,0,39.63,862.51
2011-03-07,50.77,0,295.53,2,260.89,851.95
2011-03-08,50.82,16,295.86,0,39.49,852.61
2011-03-09,50.35,16,295.59,0,39.49,845.09
2011-03-10,49.52,0,289.86,2,252.09,831.81
2011-03-11,50.28,0,288.07,2,252.09,828.23
2011-03-14,50.51,16,284.71,0,13.35,821.51
2011-03-15,49.35,16,284.5,0,13.35,802.95
2011-03-16,47.14,0,278.27,2,211.05,767.59
2011-03-17,47.81,16,280.4,0,6.89,771.85
2011-03-18,47.24,0,280.25,2,202.23,762.73
2011-03-21,48.47,0,287.96,2,202.23,778.15
2011-03-22,48.74,15,288.37,0,47.87,778.97
2011-03-23,48.46,0,290.79,2,193.19,774.77
2011-03-24,49.28,0,293.15,2,193.19,779.49
2011-03-25,50.22,0,289.58,2,193.19,772.35
2011-03-28,50.06,15,287.39,0,17.07,767.97
2011-03-29,50.14,15,290.57,0,17.07,769.17
2011-03-30,49.8,15,290.63,0,17.07,764.07
2011-03-31,49.79,15,293.09,0,17.07,763.92
2011-04-01,49.22,15,295.6,0,17.07,755.37
2011-04-04,48.74,0,293.55,2,161.07,748.17
2011-04-05,48.41,15,284.26,0,3.44,729.59
2011-04-06,48.29,15,286.8,0,3.44,727.79
2011-04-07,48.3,15,289.71,0,3.44,727.94
2011-04-08,47.87,15,288.79,0,3.44,721.49
2011-04-11,47.26,0,288.4,2,135.54,712.34
2011-04-12,47.49,0,285.02,2,135.54,705.58
2011-04-13,48.02,14,287.85,0,38.96,711.24
2011-04-14,47.49,0,288.97,2,125.88,703.82
2011-04-15,46.78,0,265.08,2,125.88,656.04
2011-04-18,47.41,0,263.16,2,125.88,652.2
2011-04-19,48.27,0,260.5,2,125.88,646.88
2011-04-20,48.92,0,262.6,2,125.88,651.08
2011-04-21,50.1,0,262.29,2,125.88,650.46
2011-04-25,50.43,12,262.26,0,45.24,650.4
2011-04-26,50.06,12,266.14,0,45.24,645.96
2011-04-27,50.02,12,268.61,0,45.24,645.48
2011-04-28,49.54,12,268.72,0,45.24,639.72
2011-04-29,50.02,12,271.78,0,45.24,645.48
2011-05-02,49.47,0,269.01,2,100.86,638.88
2011-05-03,49.74,0,266.68,2,100.86,634.22
2011-05-04,49.94,12,267.63,0,36.84,636.12
2011-05-05,49.54,12,266.87,0,36.84,631.32
2011-05-06,49.52,12,267.38,0,36.84,631.08
2011-05-09,49.66,12,268.57,0,36.84,632.76
2011-05-10,49.92,0,271.06,2,93.76,635.88
2011-05-11,49.6,12,267.46,0,33.48,628.68
2011-05-12,49.51,12,267.26,0,33.48,627.6
2011-05-13,48.64,12,264.51,0,33.48,617.16
2011-05-16,47.61,12,258.95,0,33.48,604.8
2011-05-17,48.02,0,264.96,2,79.8,609.72
2011-05-18,48.55,12,264.64,0,26.48,609.08
2011-05-19,48.65,12,265.36,0,26.48,610.28
2011-05-20,47.89,0,261.75,2,77.66,601.16
2011-05-23,47.77,12,258.94,0,22.3,595.54
2011-05-24,47.46,0,258.87,2,74.08,591.82
2011-05-25,48.11,12,259.58,0,15.92,593.24
2011-05-26,47.86,0,258.81,2,72.62,590.24
2011-05-27,48.2,0,260.19,2,72.62,593.0
2011-05-31,49.69,12,264.25,0,4.84,601.12
2011-06-01,49.36,12,262.54,0,4.84,597.16
