Date,bench-min Total,bench-max Total,% Diff,Cumul. DIff
2011-01-03,1000.0,1000.0,0.0,0.0
2011-01-04,996.67,1005.25,0.009,0.004
2011-01-05,1004.65,1015.66,0.011,0.006
2011-01-06,1004.02,1022.29,0.018,0.009
2011-01-07,1008.43,1029.43,0.02,0.012
2011-01-10,1005.1,1048.33,0.041,0.017
2011-01-11,1002.9,1051.03,0.046,0.021
2011-01-12,1004.19,1059.22,0.052,0.025
2011-01-13,1003.92,1063.0,0.056,0.028
2011-01-14,1011.92,1074.22,0.058,0.032
2011-01-18,989.52,1097.38,0.098,0.038
2011-01-19,977.7,1091.88,0.105,0.044
2011-01-20,960.1,1084.41,0.115,0.049
2011-01-21,937.72,1065.49,0.12,0.054
2011-01-24,936.58,1099.37,0.148,0.061
2011-01-25,947.22,1112.63,0.149,0.067
2011-01-26,942.09,1120.33,0.159,0.072
2011-01-27,940.38,1120.78,0.161,0.078
2011-01-28,916.68,1098.34,0.165,0.082
2011-01-31,915.75,1108.46,0.174,0.087
2011-02-01,930.51,1126.5,0.174,0.091
2011-02-02,928.71,1127.94,0.177,0.096
2011-02-03,925.95,1125.18,0.177,0.099
2011-02-04,927.18,1134.86,0.183,0.103
2011-02-07,932.16,1151.8,0.191,0.107
2011-02-08,938.28,1162.14,0.193,0.11
2011-02-09,935.46,1171.6,0.202,0.114
2011-02-10,926.1,1171.51,0.209,0.118
2011-02-11,932.04,1183.6,0.213,0.121
2011-02-14,935.68,1191.19,0.214,0.124
2011-02-15,931.68,1193.49,0.219,0.128
2011-02-16,931.76,1204.3,0.226,0.131
2011-02-17,920.03,1205.86,0.237,0.135
2011-02-18,901.16,1213.06,0.257,0.139
2011-02-22,872.09,1183.3,0.263,0.142
2011-02-23,873.19,1197.22,0.271,0.146
2011-02-24,870.71,1197.94,0.273,0.15
2011-02-25,871.91,1216.18,0.283,0.154
2011-02-28,875.27,1233.46,0.29,0.158
2011-03-01,862.65,1220.02,0.293,0.161
2011-03-02,862.67,1229.62,0.298,0.165
2011-03-03,871.45,1255.3,0.306,0.169
2011-03-04,862.51,1256.74,0.314,0.172
2011-03-07,851.95,1240.9,0.313,0.176
2011-03-08,852.61,1242.22,0.314,0.179
2011-03-09,845.09,1241.14,0.319,0.182
2011-03-10,831.81,1221.22,0.319,0.186
2011-03-11,828.23,1239.46,0.332,0.189
2011-03-14,821.51,1244.98,0.34,0.192
2011-03-15,802.95,1244.14,0.355,0.196
2011-03-16,767.59,1219.22,0.37,0.199
2011-03-17,771.85,1235.97,0.376,0.203
2011-03-18,762.73,1235.37,0.383,0.207
2011-03-21,778.15,1267.35,0.386,0.21
2011-03-22,778.97,1274.37,0.389,0.214
2011-03-23,774.77,1284.05,0.397,0.217
2011-03-24,779.49,1305.37,0.403,0.221
2011-03-25,772.35,1329.81,0.419,0.225
2011-03-28,767.97,1325.65,0.421,0.229
2011-03-29,769.17,1338.37,0.425,0.233
2011-03-30,764.07,1338.61,0.429,0.236
2011-03-31,763.92,1348.45,0.433,0.24
2011-04-01,755.37,1358.49,0.444,0.244
2011-04-04,748.17,1350.29,0.446,0.247
2011-04-05,729.59,1341.38,0.456,0.251
2011-04-06,727.79,1351.54,0.462,0.255
2011-04-07,727.94,1363.18,0.466,0.258
2011-04-08,721.49,1359.5,0.469,0.262
2011-04-11,712.34,1357.94,0.475,0.265
2011-04-12,705.58,1364.38,0.483,0.269
2011-04-13,711.24,1379.22,0.484,0.272
2011-04-14,703.82,1383.7,0.491,0.276
2011-04-15,656.04,1363.11,0.519,0.28
2011-04-18,652.2,1381.38,0.528,0.283
2011-04-19,646.88,1406.32,0.54,0.287
2011-04-20,651.08,1425.17,0.543,0.291
2011-04-21,650.46,1459.39,0.554,0.295
2011-04-25,650.4,1468.96,0.557,0.299
2011-04-26,645.96,1488.36,0.566,0.304
2011-04-27,645.48,1500.71,0.57,0.308
2011-04-28,639.72,1501.26,0.574,0.312
2011-04-29,645.48,1516.56,0.574,0.316
2011-05-02,638.88,1502.71,0.575,0.319
2011-05-03,634.22,1510.81,0.58,0.323
2011-05-04,636.12,1516.81,0.581,0.327
2011-05-05,631.32,1513.01,0.583,0.33
2011-05-06,631.08,1515.56,0.584,0.334
2011-05-09,632.76,1521.51,0.584,0.337
2011-05-10,635.88,1533.96,0.585,0.341
2011-05-11,628.68,1524.36,0.588,0.344
2011-05-12,627.6,1523.36,0.588,0.347
2011-05-13,617.16,1509.61,0.591,0.351
2011-05-16,604.8,1481.81,0.592,0.354
2011-05-17,609.72,1511.86,0.597,0.357
2011-05-18,609.08,1528.29,0.601,0.36
2011-05-19,610.28,1531.89,0.602,0.363
2011-05-20,601.16,1513.84,0.603,0.366
2011-05-23,595.54,1510.12,0.606,0.369
2011-05-24,591.82,1509.77,0.608,0.372
2011-05-25,593.24,1529.92,0.612,0.374
2011-05-26,590.24,1526.07,0.613,0.377
2011-05-27,593.0,1536.61,0.614,0.38
2011-05-31,601.12,1582.8,0.62,0.383
2011-06-01,597.16,1574.25,0.621,0.386
2011-06-02,598.12,1580.4,0.622,0.388
2011-06-03,593.14,1568.62,0.622,0.391
2011-06-06,583.9,1562.56,0.626,0.394
2011-06-07,573.58,1556.5,0.631,0.396
2011-06-08,573.72,1557.46,0.632,0.399
2011-06-09,571.28,1554.26,0.632,0.401
2011-06-10,561.68,1532.6,0.634,0.404
2011-06-13,556.9,1535.8,0.637,0.406
2011-06-14,560.54,1562.36,0.641,0.409
2011-06-15,551.63,1546.1,0.643,0.411
2011-06-16,549.05,1538.51,0.643,0.414
2011-06-17,533.73,1515.41,0.648,0.416
2011-06-20,526.03,1514.09,0.653,0.418
2011-06-21,534.43,1560.95,0.658,0.421
2011-06-22,528.45,1548.41,0.659,0.423
2011-06-23,521.67,1589.0,0.672,0.425
2011-06-24,513.97,1572.98,0.673,0.428
2011-06-27,521.97,1599.71,0.674,0.43
2011-06-28,527.03,1631.99,0.677,0.433
2011-06-29,525.16,1643.75,0.681,0.435
2011-06-30,527.69,1670.15,0.684,0.438
2011-07-01,539.68,1714.01,0.685,0.44
2011-07-05,549.36,1748.21,0.686,0.443
2011-07-06,552.28,1759.76,0.686,0.445
2011-07-07,560.08,1793.48,0.688,0.448
2011-07-08,545.48,1806.08,0.698,0.45
2011-07-11,537.28,1791.98,0.7,0.453
2011-07-12,536.98,1812.14,0.704,0.455
2011-07-13,541.22,1833.49,0.705,0.458
2011-07-14,531.92,1832.09,0.71,0.46
2011-07-15,542.12,2037.89,0.734,0.463
2011-07-18,540.78,2087.42,0.741,0.466
2011-07-19,544.58,2114.02,0.742,0.469
2011-07-20,540.99,2169.79,0.751,0.473
2011-07-21,541.53,2210.46,0.755,0.476
2011-07-22,547.15,2249.8,0.757,0.479
2011-07-25,547.52,2279.4,0.76,0.482
2011-07-26,549.29,2307.4,0.762,0.485
2011-07-27,535.34,2253.92,0.762,0.489
2011-07-28,534.35,2266.87,0.764,0.492
2011-07-29,530.73,2259.27,0.765,0.495
2011-08-01,532.27,2295.27,0.768,0.498
2011-08-02,521.29,2251.1,0.768,0.5
2011-08-03,524.8,2275.9,0.769,0.503
2011-08-04,505.27,2193.23,0.77,0.506
2011-08-05,500.41,2198.55,0.772,0.509
2011-08-08,474.22,2083.12,0.772,0.511
2011-08-09,487.9,2204.89,0.779,0.514
2011-08-10,474.67,2144.62,0.779,0.516
2011-08-11,481.22,2203.25,0.782,0.519
2011-08-12,482.04,2222.52,0.783,0.521
2011-08-15,478.78,2259.83,0.788,0.524
2011-08-16,469.67,2242.61,0.791,0.527
2011-08-17,466.75,2242.61,0.792,0.529
2011-08-18,450.27,2158.15,0.791,0.531
2011-08-19,438.83,2102.31,0.791,0.534
2011-08-22,439.31,2131.35,0.794,0.536
2011-08-23,449.62,2231.8,0.799,0.538
2011-08-24,451.85,2249.64,0.799,0.541
2011-08-25,449.05,2236.68,0.799,0.543
2011-08-26,452.46,2294.49,0.803,0.545
2011-08-29,458.56,2343.29,0.804,0.548
2011-08-30,458.56,2349.77,0.805,0.55
2011-08-31,452.72,2350.81,0.807,0.552
2011-09-01,448.32,2327.71,0.807,0.555
2011-09-02,440.4,2297.15,0.808,0.557
2011-09-06,439.07,2331.17,0.812,0.559
2011-09-07,443.87,2378.53,0.813,0.561
2011-09-08,444.11,2382.21,0.814,0.564
2011-09-09,436.51,2341.81,0.814,0.566
2011-09-12,439.14,2362.85,0.814,0.568
2011-09-13,438.85,2391.66,0.817,0.57
2011-09-14,440.12,2420.04,0.818,0.572
2011-09-15,443.83,2467.2,0.82,0.574
2011-09-16,445.89,2513.21,0.823,0.577
2011-09-19,445.88,2581.58,0.827,0.579
2011-09-20,445.86,2592.76,0.828,0.581
2011-09-21,442.15,2585.02,0.829,0.583
2011-09-22,431.79,2521.38,0.829,0.585
2011-09-23,434.21,2543.16,0.829,0.587
2011-09-26,433.09,2571.87,0.832,0.59
2011-09-27,429.17,2605.35,0.835,0.592
