,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,10.32,64.9,10.85,7704.0,46078.0,999946.22
2001-07-03,9.96,64.7,10.71,6938.0,50705.0,991949.1100000001
2001-07-05,8.44,61.7,10.7,6152.0,55237.0,970622.7399999999
2001-07-06,1.4,60.0,10.58,5358.0,59740.0,953530.6
2001-07-09,2.14,58.5,10.75,4542.0,64180.0,955644.14
2001-07-10,7.67,54.5,10.75,3682.0,68539.0,937470.92
2001-07-11,4.47,52.9,11.3,2766.0,72827.0,969270.9700000001
2001-07-12,10.88,58.0,11.6,1900.0,77156.0,1005220.48
2001-07-13,9.9,61.1,11.15,1101.0,81534.0,976385.1
2001-07-16,6.83,61.9,11.15,312.0,85914.0,977260.73
2001-07-17,2.18,63.4,12.1,0.0,87549.0,1059345.0799999998
2001-07-18,2.18,63.5,12.1,0.0,87549.0,1059345.0799999998
2001-07-19,2.18,66.2,12.01,0.0,87549.0,1051465.67
2001-07-20,2.18,67.5,12.4,0.0,87549.0,1085609.78
2001-07-23,2.18,64.7,12.35,0.0,87549.0,1081232.3299999998
2001-07-24,2.18,60.6,12.12,0.0,87549.0,1061096.0599999998
2001-07-25,2.18,61.6,12.11,0.0,87549.0,1060220.5699999998
2001-07-26,2.18,61.8,12.05,0.0,87549.0,1054967.63
2001-07-27,2.18,67.1,11.8,0.0,87549.0,1033080.3800000001
2001-07-30,2.18,64.3,11.95,0.0,87549.0,1046212.73
2001-07-31,2.18,64.8,11.95,0.0,87549.0,1046212.73
2001-08-01,2.18,63.4,12.75,0.0,87549.0,1116251.93
2001-08-02,2.18,65.1,13.56,0.0,87549.0,1187166.6199999999
2001-08-03,2.18,65.3,13.45,0.0,87549.0,1177536.23
2001-08-06,2.18,63.8,13.3,0.0,87549.0,1164403.88
2001-08-07,2.18,63.2,13.15,0.0,87549.0,1151271.53
2001-08-08,2.18,62.4,13.07,0.0,87549.0,1144267.6099999999
2001-08-09,2.18,61.4,13.08,0.0,87549.0,1145143.0999999999
2001-08-10,2.18,61.5,13.06,0.0,87549.0,1143392.1199999999
2001-08-13,2.18,60.0,12.9,0.0,87549.0,1129384.28
2001-08-14,2.18,59.8,13.08,0.0,87549.0,1145143.0999999999
2001-08-15,2.18,57.6,13.24,0.0,87549.0,1159150.94
2001-08-16,2.18,56.4,13.19,0.0,87549.0,1154773.49
2001-08-17,2.18,54.5,13.15,0.0,87549.0,1151271.53
2001-08-20,2.18,55.7,13.53,0.0,87549.0,1184540.15
2001-08-21,2.18,58.1,13.71,0.0,87549.0,1200298.97
