,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,3.13,3.47,10.85,144052.0,46078.0,999809.87
2001-07-03,2.06,3.53,10.71,129860.0,50754.0,1001983.2000000002
2001-07-05,1.43,3.54,10.7,115697.0,55438.0,1002755.41
2001-07-06,0.79,3.27,10.58,100944.0,59996.0,964845.3500000001
2001-07-09,8.6,3.35,10.75,86271.0,64566.0,983100.9500000001
2001-07-10,10.51,3.12,10.75,70835.0,69044.0,963238.71
2001-07-11,4.71,3.14,11.3,54870.0,73479.0,1002609.2100000001
2001-07-12,11.15,3.19,11.6,38767.0,77905.0,1027375.88
2001-07-13,10.02,3.19,11.15,23214.0,82353.0,992298.6300000001
2001-07-16,5.38,3.16,11.15,7525.0,86798.0,991582.0800000001
2001-07-17,2.56,3.13,12.1,0.0,88744.0,1073804.96
2001-07-18,2.56,3.13,12.1,0.0,88744.0,1073804.96
2001-07-19,2.56,3.17,12.01,0.0,88744.0,1065818.0
2001-07-20,2.56,3.2,12.4,0.0,88744.0,1100428.1600000001
2001-07-23,2.56,3.1,12.35,0.0,88744.0,1095990.96
2001-07-24,2.56,2.95,12.12,0.0,88744.0,1075579.84
2001-07-25,2.56,3.0,12.11,0.0,88744.0,1074692.4
2001-07-26,2.56,3.35,12.05,0.0,88744.0,1069367.76
2001-07-27,2.56,3.43,11.8,0.0,88744.0,1047181.7600000001
2001-07-30,2.56,3.36,11.95,0.0,88744.0,1060493.36
2001-07-31,2.56,3.51,11.95,0.0,88744.0,1060493.36
2001-08-01,2.56,3.76,12.75,0.0,88744.0,1131488.56
2001-08-02,2.56,3.69,13.56,0.0,88744.0,1203371.2000000002
2001-08-03,2.56,3.79,13.45,0.0,88744.0,1193609.36
2001-08-06,2.56,4.01,13.3,0.0,88744.0,1180297.76
2001-08-07,2.56,3.93,13.15,0.0,88744.0,1166986.1600000001
2001-08-08,2.56,3.72,13.07,0.0,88744.0,1159886.6400000001
2001-08-09,2.56,3.79,13.08,0.0,88744.0,1160774.08
2001-08-10,2.56,3.69,13.06,0.0,88744.0,1158999.2000000002
2001-08-13,2.56,3.72,12.9,0.0,88744.0,1144800.1600000001
2001-08-14,2.56,3.7,13.08,0.0,88744.0,1160774.08
2001-08-15,2.56,3.56,13.24,0.0,88744.0,1174973.12
2001-08-16,2.56,3.65,13.19,0.0,88744.0,1170535.92
2001-08-17,2.56,3.64,13.15,0.0,88744.0,1166986.1600000001
2001-08-20,2.56,3.62,13.53,0.0,88744.0,1200708.88
2001-08-21,2.56,3.5,13.71,0.0,88744.0,1216682.8
2001-08-22,2.56,3.69,13.98,0.0,88744.0,1240643.6800000002
2001-08-23,2.56,3.59,13.5,0.0,88744.0,1198046.56
2001-08-24,2.56,3.63,13.5,0.0,88744.0,1198046.56
2001-08-27,2.56,3.53,13.7,0.0,88744.0,1215795.36
2001-08-28,2.56,3.49,13.7,0.0,88744.0,1215795.36
2001-08-29,2.56,3.37,14.1,0.0,88744.0,1251292.96
2001-08-30,2.56,3.21,14.4,0.0,88744.0,1277916.1600000001
2001-08-31,2.56,3.18,14.85,0.0,88744.0,1317850.96
2001-09-04,2.56,3.06,14.47,0.0,88744.0,1284128.2400000002
2001-09-05,2.56,3.57,14.3,0.0,88744.0,1269041.76
2001-09-06,2.56,3.2,14.37,0.0,88744.0,1275253.84
2001-09-07,2.56,3.27,15.18,0.0,88744.0,1347136.48
2001-09-10,2.56,3.27,15.3,0.0,88744.0,1357785.76
2001-09-17,2.56,2.87,13.2,0.0,88744.0,1171423.36
2001-09-18,2.56,2.75,13.82,0.0,88744.0,1226444.6400000001
2001-09-19,2.56,2.8,13.6,0.0,88744.0,1206920.96
2001-09-20,2.56,2.54,11.54,0.0,88744.0,1024108.32
2001-09-21,2.56,2.21,11.6,0.0,88744.0,1029432.9600000001
2001-09-24,2.56,2.35,12.2,0.0,88744.0,1082679.36
2001-09-25,2.56,2.37,12.95,0.0,88744.0,1149237.36
2001-09-26,2.56,2.1,12.4,0.0,88744.0,1100428.1600000001
2001-09-27,2.56,2.05,12.39,0.0,88744.0,1099540.7200000002
2001-09-28,2.56,2.17,12.96,0.0,88744.0,1150124.8
2001-10-01,2.56,2.44,12.55,0.0,88744.0,1113739.76
2001-10-02,2.56,2.38,13.06,0.0,88744.0,1158999.2000000002
2001-10-03,2.56,2.8,13.0,0.0,88744.0,1153674.56
2001-10-04,2.56,2.7,12.99,0.0,88744.0,1152787.12
2001-10-05,2.56,2.65,12.66,0.0,88744.0,1123501.6
2001-10-08,2.56,2.59,12.77,0.0,88744.0,1133263.44
2001-10-09,2.56,2.48,12.98,0.0,88744.0,1151899.6800000002
2001-10-10,2.56,2.5,13.25,0.0,88744.0,1175860.56
2001-10-11,2.56,2.7,13.23,0.0,88744.0,1174085.6800000002
2001-10-12,2.56,2.6,12.85,0.0,88744.0,1140362.96
2001-10-15,2.56,2.54,12.91,0.0,88744.0,1145687.6
2001-10-16,2.56,2.55,12.95,0.0,88744.0,1149237.36
2001-10-17,2.56,2.65,12.78,0.0,88744.0,1134150.88
2001-10-18,2.56,2.75,12.95,0.0,88744.0,1149237.36
2001-10-19,2.56,3.1,12.5,0.0,88744.0,1109302.56
2001-10-22,2.56,3.13,12.26,0.0,88744.0,1088004.0
2001-10-23,2.56,3.24,12.32,0.0,88744.0,1093328.6400000001
2001-10-24,2.56,3.5,12.39,0.0,88744.0,1099540.7200000002
2001-10-25,2.56,3.33,11.9,0.0,88744.0,1056056.1600000001
2001-10-26,2.56,3.49,12.35,0.0,88744.0,1095990.96
2001-10-29,2.56,3.27,12.8,0.0,88744.0,1135925.76
2001-10-30,2.56,3.4,13.07,0.0,88744.0,1159886.6400000001
2001-10-31,2.56,3.35,13.15,0.0,88744.0,1166986.1600000001
2001-11-01,2.56,3.4,13.05,0.0,88744.0,1158111.76
2001-11-02,2.56,3.99,12.86,0.0,88744.0,1141250.4
2001-11-05,2.56,3.83,13.28,0.0,88744.0,1178522.88
2001-11-06,2.56,4.0,13.16,0.0,88744.0,1167873.6
2001-11-07,2.56,3.95,13.3,0.0,88744.0,1180297.76
2001-11-08,2.56,4.25,12.99,0.0,88744.0,1152787.12
2001-11-09,2.56,4.07,13.33,0.0,88744.0,1182960.08
2001-11-12,2.56,4.23,13.19,0.0,88744.0,1170535.92
2001-11-13,2.56,4.27,13.1,0.0,88744.0,1162548.96
2001-11-14,2.56,4.38,12.81,0.0,88744.0,1136813.2000000002
2001-11-15,2.56,4.24,12.97,0.0,88744.0,1151012.2400000002
2001-11-16,2.56,4.17,12.95,0.0,88744.0,1149237.36
2001-11-19,2.56,4.35,12.7,0.0,88744.0,1127051.36
2001-11-20,2.56,3.92,12.51,0.0,88744.0,1110190.0
2001-11-21,2.56,4.31,12.85,0.0,88744.0,1140362.96
2001-11-23,2.56,4.55,12.99,0.0,88744.0,1152787.12
2001-11-26,2.56,4.94,12.9,0.0,88744.0,1144800.1600000001
2001-11-27,2.56,4.64,12.75,0.0,88744.0,1131488.56
2001-11-28,2.56,4.42,12.75,0.0,88744.0,1131488.56
2001-11-29,2.56,4.53,12.97,0.0,88744.0,1151012.2400000002
2001-11-30,2.56,4.71,13.69,0.0,88744.0,1214907.92
2001-12-03,2.56,4.64,13.82,0.0,88744.0,1226444.6400000001
2001-12-04,2.56,4.73,13.85,0.0,88744.0,1229106.96
2001-12-05,2.56,4.86,13.9,0.0,88744.0,1233544.1600000001
2001-12-06,2.56,5.25,13.98,0.0,88744.0,1240643.6800000002
2001-12-07,2.56,5.62,14.27,0.0,88744.0,1266379.44
2001-12-10,2.56,5.41,14.31,0.0,88744.0,1269929.2000000002
2001-12-11,2.56,6.0,14.35,0.0,88744.0,1273478.96
2001-12-12,2.56,6.14,14.31,0.0,88744.0,1269929.2000000002
2001-12-13,2.56,6.05,14.44,0.0,88744.0,1281465.92
2001-12-14,2.56,5.72,14.29,0.0,88744.0,1268154.32
2001-12-17,2.56,5.99,14.61,0.0,88744.0,1296552.4
2001-12-18,2.56,6.24,14.83,0.0,88744.0,1316076.08
2001-12-19,2.56,5.92,14.81,0.0,88744.0,1314301.2000000002
2001-12-20,2.56,5.52,14.7,0.0,88744.0,1304539.36
2001-12-21,2.56,6.1,14.31,0.0,88744.0,1269929.2000000002
2001-12-24,2.56,6.1,14.25,0.0,88744.0,1264604.56
2001-12-26,2.56,6.45,14.84,0.0,88744.0,1316963.52
2001-12-27,2.56,6.78,15.0,0.0,88744.0,1331162.56
2001-12-28,2.56,6.5,15.02,0.0,88744.0,1332937.44
2001-12-31,2.56,6.27,15.05,0.0,88744.0,1335599.76
2002-01-02,2.56,6.14,14.89,0.0,88744.0,1321400.7200000002
2002-01-03,2.56,6.14,14.89,0.0,88744.0,1321400.7200000002
2002-01-04,2.56,6.45,14.62,0.0,88744.0,1297439.84
2002-01-07,2.56,6.86,13.7,0.0,88744.0,1215795.36
2002-01-08,2.56,7.0,13.95,0.0,88744.0,1237981.36
2002-01-09,2.56,7.5,14.49,0.0,88744.0,1285903.12
2002-01-10,2.56,7.35,14.09,0.0,88744.0,1250405.52
2002-01-11,2.56,7.4,13.97,0.0,88744.0,1239756.2400000002
2002-01-14,2.56,6.83,13.7,0.0,88744.0,1215795.36
2002-01-15,2.56,6.98,14.3,0.0,88744.0,1269041.76
2002-01-16,2.56,7.01,14.1,0.0,88744.0,1251292.96
2002-01-17,2.56,6.95,14.19,0.0,88744.0,1259279.92
2002-01-18,2.56,6.46,14.37,0.0,88744.0,1275253.84
2002-01-22,2.56,6.99,14.3,0.0,88744.0,1269041.76
2002-01-23,2.56,7.05,14.68,0.0,88744.0,1302764.48
2002-01-24,2.56,7.11,14.8,0.0,88744.0,1313413.76
2002-01-25,2.56,6.89,15.21,0.0,88744.0,1349798.8
2002-01-28,2.56,6.79,16.0,0.0,88744.0,1419906.56
2002-01-29,2.56,6.85,15.69,0.0,88744.0,1392395.92
2002-01-30,2.56,6.49,15.95,0.0,88744.0,1415469.36
2002-01-31,2.56,6.25,16.31,0.0,88744.0,1447417.2
2002-02-01,2.56,5.72,16.74,0.0,88744.0,1485577.1199999999
2002-02-04,2.56,5.53,16.75,0.0,88744.0,1486464.56
2002-02-05,2.56,5.62,16.41,0.0,88744.0,1456291.6
2002-02-06,2.56,5.85,16.25,0.0,88744.0,1442092.56
2002-02-07,2.56,5.94,15.82,0.0,88744.0,1403932.6400000001
2002-02-08,2.56,5.74,15.96,0.0,88744.0,1416356.8
2002-02-11,2.56,6.25,16.54,0.0,88744.0,1467828.32
2002-02-12,2.56,6.2,16.65,0.0,88744.0,1477590.16
2002-02-13,2.56,6.0,17.17,0.0,88744.0,1523737.0400000003
2002-02-14,2.56,6.13,17.0,0.0,88744.0,1508650.56
2002-02-15,2.56,5.98,16.98,0.0,88744.0,1506875.6800000002
2002-02-19,2.56,5.35,17.5,0.0,88744.0,1553022.56
2002-02-20,2.56,6.25,17.03,0.0,88744.0,1511312.8800000001
2002-02-21,2.56,5.81,16.84,0.0,88744.0,1494451.52
2002-02-22,2.56,5.7,17.61,0.0,88744.0,1562784.4
2002-02-25,2.56,5.89,17.48,0.0,88744.0,1551247.6800000002
2002-02-26,2.56,6.04,17.55,0.0,88744.0,1557459.76
2002-02-27,2.56,6.22,17.76,0.0,88744.0,1576096.0000000002
2002-02-28,2.56,5.81,17.45,0.0,88744.0,1548585.36
