,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,27.7,33.13,10.85,15091.0,46078.0,999938.83
2001-07-03,0.27,33.0,10.71,13589.0,50708.0,991519.9500000001
2001-07-05,8.06,33.97,10.7,12111.0,55399.0,1004188.03
2001-07-06,6.75,33.71,10.58,10637.0,60095.0,994385.12
2001-07-09,7.11,32.75,10.75,9119.0,64719.0,994383.61
2001-07-10,0.18,33.23,10.75,7617.0,69362.0,998754.59
2001-07-11,2.63,32.55,11.3,6033.0,73924.0,1031717.9800000001
2001-07-12,1.11,32.41,11.6,4409.0,78461.0,1053044.4000000001
2001-07-13,1.91,32.78,11.15,2855.0,83029.0,1019362.16
2001-07-16,9.98,32.54,11.15,1290.0,87595.0,1018670.83
2001-07-17,3.26,33.1,12.1,0.0,91124.0,1102603.66
2001-07-18,3.26,32.98,12.1,0.0,91124.0,1102603.66
2001-07-19,3.26,33.18,12.01,0.0,91124.0,1094402.5
2001-07-20,3.26,32.86,12.4,0.0,91124.0,1129940.86
2001-07-23,3.26,32.35,12.35,0.0,91124.0,1125384.66
2001-07-24,3.26,30.28,12.12,0.0,91124.0,1104426.14
2001-07-25,3.26,31.34,12.11,0.0,91124.0,1103514.9
2001-07-26,3.26,32.58,12.05,0.0,91124.0,1098047.46
2001-07-27,3.26,33.09,11.8,0.0,91124.0,1075266.46
2001-07-30,3.26,33.15,11.95,0.0,91124.0,1088935.06
2001-07-31,3.26,33.5,11.95,0.0,91124.0,1088935.06
2001-08-01,3.26,33.61,12.75,0.0,91124.0,1161834.26
2001-08-02,3.26,33.8,13.56,0.0,91124.0,1235644.7
2001-08-03,3.26,33.51,13.45,0.0,91124.0,1225621.06
2001-08-06,3.26,32.77,13.3,0.0,91124.0,1211952.46
2001-08-07,3.26,32.45,13.15,0.0,91124.0,1198283.86
2001-08-08,3.26,31.75,13.07,0.0,91124.0,1190993.94
2001-08-09,3.26,31.75,13.08,0.0,91124.0,1191905.18
2001-08-10,3.26,32.37,13.06,0.0,91124.0,1190082.7
2001-08-13,3.26,32.06,12.9,0.0,91124.0,1175502.86
2001-08-14,3.26,32.3,13.08,0.0,91124.0,1191905.18
2001-08-15,3.26,32.5,13.24,0.0,91124.0,1206485.02
2001-08-16,3.26,32.3,13.19,0.0,91124.0,1201928.82
2001-08-17,3.26,31.91,13.15,0.0,91124.0,1198283.86
2001-08-20,3.26,31.75,13.53,0.0,91124.0,1232910.98
2001-08-21,3.26,31.62,13.71,0.0,91124.0,1249313.3
2001-08-22,3.26,31.74,13.98,0.0,91124.0,1273916.78
2001-08-23,3.26,32.12,13.5,0.0,91124.0,1230177.26
2001-08-24,3.26,32.81,13.5,0.0,91124.0,1230177.26
2001-08-27,3.26,33.05,13.7,0.0,91124.0,1248402.06
2001-08-28,3.26,32.52,13.7,0.0,91124.0,1248402.06
2001-08-29,3.26,32.85,14.1,0.0,91124.0,1284851.66
2001-08-30,3.26,32.21,14.4,0.0,91124.0,1312188.86
2001-08-31,3.26,32.55,14.85,0.0,91124.0,1353194.66
2001-09-04,3.26,32.61,14.47,0.0,91124.0,1318567.54
2001-09-05,3.26,32.62,14.3,0.0,91124.0,1303076.46
2001-09-06,3.26,31.97,14.37,0.0,91124.0,1309455.14
2001-09-07,3.26,31.47,15.18,0.0,91124.0,1383265.58
2001-09-10,3.26,31.46,15.3,0.0,91124.0,1394200.46
2001-09-17,3.26,30.34,13.2,0.0,91124.0,1202840.06
2001-09-18,3.26,28.29,13.82,0.0,91124.0,1259336.94
2001-09-19,3.26,26.79,13.6,0.0,91124.0,1239289.66
2001-09-20,3.26,26.52,11.54,0.0,91124.0,1051574.22
2001-09-21,3.26,26.0,11.6,0.0,91124.0,1057041.66
2001-09-24,3.26,26.31,12.2,0.0,91124.0,1111716.06
2001-09-25,3.26,25.54,12.95,0.0,91124.0,1180059.06
2001-09-26,3.26,24.99,12.4,0.0,91124.0,1129940.86
2001-09-27,3.26,25.51,12.39,0.0,91124.0,1129029.62
2001-09-28,3.26,27.3,12.96,0.0,91124.0,1180970.3
2001-10-01,3.26,27.0,12.55,0.0,91124.0,1143609.46
2001-10-02,3.26,27.42,13.06,0.0,91124.0,1190082.7
2001-10-03,3.26,28.32,13.0,0.0,91124.0,1184615.26
2001-10-04,3.26,28.94,12.99,0.0,91124.0,1183704.02
2001-10-05,3.26,28.85,12.66,0.0,91124.0,1153633.1
2001-10-08,3.26,29.35,12.77,0.0,91124.0,1163656.74
2001-10-09,3.26,29.5,12.98,0.0,91124.0,1182792.78
2001-10-10,3.26,30.25,13.25,0.0,91124.0,1207396.26
2001-10-11,3.26,30.43,13.23,0.0,91124.0,1205573.78
2001-10-12,3.26,30.25,12.85,0.0,91124.0,1170946.66
2001-10-15,3.26,29.15,12.91,0.0,91124.0,1176414.1
2001-10-16,3.26,29.99,12.95,0.0,91124.0,1180059.06
2001-10-17,3.26,28.74,12.78,0.0,91124.0,1164567.98
2001-10-18,3.26,27.55,12.95,0.0,91124.0,1180059.06
2001-10-19,3.26,28.45,12.5,0.0,91124.0,1139053.26
2001-10-22,3.26,28.76,12.26,0.0,91124.0,1117183.5
2001-10-23,3.26,28.05,12.32,0.0,91124.0,1122650.94
2001-10-24,3.26,25.9,12.39,0.0,91124.0,1129029.62
2001-10-25,3.26,27.6,11.9,0.0,91124.0,1084378.86
2001-10-26,3.26,28.0,12.35,0.0,91124.0,1125384.66
2001-10-29,3.26,28.34,12.8,0.0,91124.0,1166390.46
2001-10-30,3.26,28.85,13.07,0.0,91124.0,1190993.94
2001-10-31,3.26,28.87,13.15,0.0,91124.0,1198283.86
2001-11-01,3.26,29.31,13.05,0.0,91124.0,1189171.46
2001-11-02,3.26,28.79,12.86,0.0,91124.0,1171857.9
2001-11-05,3.26,29.01,13.28,0.0,91124.0,1210129.98
2001-11-06,3.26,29.01,13.16,0.0,91124.0,1199195.1
2001-11-07,3.26,29.0,13.3,0.0,91124.0,1211952.46
2001-11-08,3.26,29.55,12.99,0.0,91124.0,1183704.02
2001-11-09,3.26,29.8,13.33,0.0,91124.0,1214686.18
2001-11-12,3.26,29.54,13.19,0.0,91124.0,1201928.82
2001-11-13,3.26,30.19,13.1,0.0,91124.0,1193727.66
2001-11-14,3.26,28.98,12.81,0.0,91124.0,1167301.7
2001-11-15,3.26,28.31,12.97,0.0,91124.0,1181881.54
2001-11-16,3.26,28.55,12.95,0.0,91124.0,1180059.06
2001-11-19,3.26,28.44,12.7,0.0,91124.0,1157278.06
2001-11-20,3.26,29.26,12.51,0.0,91124.0,1139964.5
2001-11-21,3.26,27.75,12.85,0.0,91124.0,1170946.66
2001-11-23,3.26,28.25,12.99,0.0,91124.0,1183704.02
2001-11-26,3.26,28.25,12.9,0.0,91124.0,1175502.86
2001-11-27,3.26,28.85,12.75,0.0,91124.0,1161834.26
2001-11-28,3.26,27.05,12.75,0.0,91124.0,1161834.26
2001-11-29,3.26,27.0,12.97,0.0,91124.0,1181881.54
2001-11-30,3.26,26.72,13.69,0.0,91124.0,1247490.82
2001-12-03,3.26,26.46,13.82,0.0,91124.0,1259336.94
2001-12-04,3.26,27.29,13.85,0.0,91124.0,1262070.66
2001-12-05,3.26,27.94,13.9,0.0,91124.0,1266626.86
2001-12-06,3.26,27.79,13.98,0.0,91124.0,1273916.78
2001-12-07,3.26,27.8,14.27,0.0,91124.0,1300342.74
2001-12-10,3.26,26.79,14.31,0.0,91124.0,1303987.7
2001-12-11,3.26,25.14,14.35,0.0,91124.0,1307632.66
2001-12-12,3.26,23.66,14.31,0.0,91124.0,1303987.7
2001-12-13,3.26,24.06,14.44,0.0,91124.0,1315833.82
2001-12-14,3.26,24.31,14.29,0.0,91124.0,1302165.22
2001-12-17,3.26,22.95,14.61,0.0,91124.0,1331324.9
2001-12-18,3.26,22.1,14.83,0.0,91124.0,1351372.18
2001-12-19,3.26,24.7,14.81,0.0,91124.0,1349549.7
2001-12-20,3.26,24.37,14.7,0.0,91124.0,1339526.06
2001-12-21,3.26,23.69,14.31,0.0,91124.0,1303987.7
2001-12-24,3.26,23.25,14.25,0.0,91124.0,1298520.26
2001-12-26,3.26,24.19,14.84,0.0,91124.0,1352283.42
2001-12-27,3.26,25.18,15.0,0.0,91124.0,1366863.26
2001-12-28,3.26,25.69,15.02,0.0,91124.0,1368685.74
2001-12-31,3.26,25.52,15.05,0.0,91124.0,1371419.46
2002-01-02,3.26,25.97,14.89,0.0,91124.0,1356839.62
2002-01-03,3.26,25.6,14.89,0.0,91124.0,1356839.62
2002-01-04,3.26,24.92,14.62,0.0,91124.0,1332236.14
2002-01-07,3.26,25.0,13.7,0.0,91124.0,1248402.06
2002-01-08,3.26,25.47,13.95,0.0,91124.0,1271183.06
2002-01-09,3.26,25.6,14.49,0.0,91124.0,1320390.02
2002-01-10,3.26,25.46,14.09,0.0,91124.0,1283940.42
2002-01-11,3.26,25.5,13.97,0.0,91124.0,1273005.54
2002-01-14,3.26,25.14,13.7,0.0,91124.0,1248402.06
2002-01-15,3.26,24.72,14.3,0.0,91124.0,1303076.46
2002-01-16,3.26,24.02,14.1,0.0,91124.0,1284851.66
2002-01-17,3.26,23.88,14.19,0.0,91124.0,1293052.82
2002-01-18,3.26,24.32,14.37,0.0,91124.0,1309455.14
2002-01-22,3.26,23.39,14.3,0.0,91124.0,1303076.46
2002-01-23,3.26,24.2,14.68,0.0,91124.0,1337703.58
2002-01-24,3.26,25.16,14.8,0.0,91124.0,1348638.46
2002-01-25,3.26,24.77,15.21,0.0,91124.0,1385999.3
2002-01-28,3.26,24.14,16.0,0.0,91124.0,1457987.26
2002-01-29,3.26,18.78,15.69,0.0,91124.0,1429738.82
2002-01-30,3.26,16.11,15.95,0.0,91124.0,1453431.06
2002-01-31,3.26,17.68,16.31,0.0,91124.0,1486235.7
2002-02-01,3.26,19.0,16.74,0.0,91124.0,1525419.0199999998
2002-02-04,3.26,16.36,16.75,0.0,91124.0,1526330.26
2002-02-05,3.26,14.53,16.41,0.0,91124.0,1495348.1
2002-02-06,3.26,14.85,16.25,0.0,91124.0,1480768.26
2002-02-07,3.26,15.24,15.82,0.0,91124.0,1441584.94
2002-02-08,3.26,15.06,15.96,0.0,91124.0,1454342.3
2002-02-11,3.26,15.86,16.54,0.0,91124.0,1507194.22
2002-02-12,3.26,16.45,16.65,0.0,91124.0,1517217.8599999999
2002-02-13,3.26,16.63,17.17,0.0,91124.0,1564602.34
2002-02-14,3.26,16.67,17.0,0.0,91124.0,1549111.26
2002-02-15,3.26,16.62,16.98,0.0,91124.0,1547288.78
2002-02-19,3.26,16.72,17.5,0.0,91124.0,1594673.26
2002-02-20,3.26,16.12,17.03,0.0,91124.0,1551844.9800000002
2002-02-21,3.26,16.26,16.84,0.0,91124.0,1534531.42
2002-02-22,3.26,16.3,17.61,0.0,91124.0,1604696.9
2002-02-25,3.26,14.84,17.48,0.0,91124.0,1592850.78
2002-02-26,3.26,16.25,17.55,0.0,91124.0,1599229.46
2002-02-27,3.26,16.1,17.76,0.0,91124.0,1618365.5000000002
2002-02-28,3.26,15.45,17.45,0.0,91124.0,1590117.06
2002-03-01,3.26,16.0,17.5,0.0,91124.0,1594673.26
2002-03-04,3.26,16.61,17.58,0.0,91124.0,1601963.18
2002-03-05,3.26,19.1,17.94,0.0,91124.0,1634767.82
2002-03-06,3.26,20.28,18.11,0.0,91124.0,1650258.9
2002-03-07,3.26,22.1,18.07,0.0,91124.0,1646613.94
2002-03-08,3.26,22.83,18.65,0.0,91124.0,1699465.8599999999
2002-03-11,3.26,22.98,19.1,0.0,91124.0,1740471.6600000001
2002-03-12,3.26,23.06,19.18,0.0,91124.0,1747761.58
