,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,50.22,52.72,4.95,9483.0,100989.0,999889.53
2001-07-03,3.15,52.68,4.78,8551.0,111268.0,982330.87
2001-07-05,2.68,52.35,4.88,7605.0,121414.0,990624.75
2001-07-06,3.41,50.4,4.86,6640.0,131419.0,973355.7500000001
2001-07-09,1.99,50.22,4.79,5682.0,141461.0,962950.22
2001-07-10,1.13,48.35,4.5,4740.0,151580.0,911290.13
2001-07-11,0.96,47.82,4.52,3787.0,161660.0,911798.4999999999
2001-07-12,2.0,51.13,4.52,2884.0,171872.0,924322.36
2001-07-13,0.25,50.79,4.67,1950.0,182028.0,949111.51
2001-07-16,1.34,48.34,4.49,1008.0,192167.0,911557.89
2001-07-17,3.56,49.46,4.4,103.0,202337.0,895380.7400000001
2001-07-18,1.96,48.71,4.46,0.0,203462.0,907442.48
2001-07-19,1.96,48.67,4.54,0.0,203462.0,923719.44
2001-07-20,1.96,49.21,4.52,0.0,203462.0,919650.1999999998
2001-07-23,1.96,48.54,4.5,0.0,203462.0,915580.96
2001-07-24,1.96,47.58,4.5,0.0,203462.0,915580.96
2001-07-25,1.96,47.24,4.8,0.0,203462.0,976619.5599999999
2001-07-26,1.96,48.91,4.78,0.0,203462.0,972550.3200000001
2001-07-27,1.96,49.28,4.62,0.0,203462.0,939996.4
2001-07-30,1.96,49.33,4.62,0.0,203462.0,939996.4
2001-07-31,1.96,49.47,4.52,0.0,203462.0,919650.1999999998
2001-08-01,1.96,51.6,4.5,0.0,203462.0,915580.96
2001-08-02,1.96,52.08,4.55,0.0,203462.0,925754.0599999999
2001-08-03,1.96,52.23,4.49,0.0,203462.0,913546.34
2001-08-06,1.96,50.65,4.4,0.0,203462.0,895234.76
2001-08-07,1.96,50.78,4.31,0.0,203462.0,876923.1799999999
2001-08-08,1.96,48.17,4.25,0.0,203462.0,864715.46
2001-08-09,1.96,46.39,4.06,0.0,203462.0,826057.6799999999
2001-08-10,1.96,46.22,4.06,0.0,203462.0,826057.6799999999
2001-08-13,1.96,46.1,4.0,0.0,203462.0,813849.96
2001-08-14,1.96,46.19,4.04,0.0,203462.0,821988.44
2001-08-15,1.96,45.44,4.22,0.0,203462.0,858611.5999999999
2001-08-16,1.96,43.83,4.19,0.0,203462.0,852507.74
2001-08-17,1.96,42.34,4.16,0.0,203462.0,846403.88
2001-08-20,1.96,44.05,4.22,0.0,203462.0,858611.5999999999
2001-08-21,1.96,43.33,4.18,0.0,203462.0,850473.1199999999
2001-08-22,1.96,44.23,4.16,0.0,203462.0,846403.88
