,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,2.39,5.36,51.19,93269.0,9767.0,999896.9600000001
2001-07-03,43.7,5.36,51.04,83956.0,10744.0,998421.62
2001-07-05,22.19,5.21,50.91,74509.0,11711.0,984421.09
2001-07-06,4.52,5.2,50.41,65107.0,12681.0,977810.13
2001-07-09,33.17,5.36,52.12,55687.0,13649.0,1009901.37
2001-07-10,48.57,5.77,52.5,46693.0,14637.0,1037909.6799999999
2001-07-11,44.56,5.94,53.49,37768.0,15628.0,1060328.2000000002
2001-07-12,38.38,5.95,52.84,28940.0,16622.0,1050537.8599999999
2001-07-13,31.73,5.94,53.05,20071.0,17615.0,1053729.22
2001-07-16,13.81,5.84,53.73,10964.0,18605.0,1063690.22
2001-07-17,19.4,6.12,54.91,2070.0,19596.0,1088704.1599999997
2001-07-18,35.79,6.29,54.4,0.0,19835.0,1079059.79
2001-07-19,35.79,6.38,54.2,0.0,19835.0,1075092.79
2001-07-20,35.79,6.32,54.49,0.0,19835.0,1080844.9400000002
2001-07-23,35.79,6.01,53.6,0.0,19835.0,1063191.79
2001-07-24,35.79,5.95,52.71,0.0,19835.0,1045538.64
2001-07-25,35.79,5.9,52.7,0.0,19835.0,1045340.29
2001-07-26,35.79,5.85,53.19,0.0,19835.0,1055059.44
2001-07-27,35.79,6.05,53.01,0.0,19835.0,1051489.14
2001-07-30,35.79,5.25,52.92,0.0,19835.0,1049703.99
2001-07-31,35.79,5.38,54.1,0.0,19835.0,1073109.29
2001-08-01,35.79,5.5,53.8,0.0,19835.0,1067158.79
2001-08-02,35.79,5.44,53.19,0.0,19835.0,1055059.44
2001-08-03,35.79,5.46,53.58,0.0,19835.0,1062795.09
2001-08-06,35.79,5.48,53.36,0.0,19835.0,1058431.3900000001
2001-08-07,35.79,5.49,53.98,0.0,19835.0,1070729.09
2001-08-08,35.79,5.48,53.71,0.0,19835.0,1065373.6400000001
2001-08-09,35.79,5.54,53.86,0.0,19835.0,1068348.8900000001
2001-08-10,35.79,5.46,55.02,0.0,19835.0,1091357.49
2001-08-13,35.79,5.51,55.7,0.0,19835.0,1104845.29
2001-08-14,35.79,5.56,56.99,0.0,19835.0,1130432.4400000002
2001-08-15,35.79,5.6,57.0,0.0,19835.0,1130630.79
2001-08-16,35.79,5.64,54.89,0.0,19835.0,1088778.94
2001-08-17,35.79,5.9,53.75,0.0,19835.0,1066167.04
2001-08-20,35.79,5.93,54.85,0.0,19835.0,1087985.54
2001-08-21,35.79,6.01,54.3,0.0,19835.0,1077076.29
2001-08-22,35.79,5.89,54.78,0.0,19835.0,1086597.09
2001-08-23,35.79,6.04,54.64,0.0,19835.0,1083820.19
2001-08-24,35.79,6.26,54.6,0.0,19835.0,1083026.79
2001-08-27,35.79,6.17,54.35,0.0,19835.0,1078068.04
2001-08-28,35.79,6.2,53.87,0.0,19835.0,1068547.24
2001-08-29,35.79,6.2,53.28,0.0,19835.0,1056844.59
2001-08-30,35.79,6.12,53.09,0.0,19835.0,1053075.9400000002
2001-08-31,35.79,6.19,52.71,0.0,19835.0,1045538.64
2001-09-04,35.79,6.02,56.15,0.0,19835.0,1113771.04
2001-09-05,35.79,6.12,56.24,0.0,19835.0,1115556.1900000002
2001-09-06,35.79,6.01,56.94,0.0,19835.0,1129440.69
2001-09-07,35.79,6.04,55.73,0.0,19835.0,1105440.34
2001-09-10,35.79,5.98,55.62,0.0,19835.0,1103258.49
2001-09-17,35.79,5.66,55.82,0.0,19835.0,1107225.49
2001-09-18,35.79,5.75,54.5,0.0,19835.0,1081043.29
2001-09-19,35.79,5.82,53.54,0.0,19835.0,1062001.69
2001-09-20,35.79,5.91,52.35,0.0,19835.0,1038398.04
2001-09-21,35.79,5.98,52.24,0.0,19835.0,1036216.1900000001
2001-09-24,35.79,5.74,52.41,0.0,19835.0,1039588.14
2001-09-25,35.79,5.35,52.94,0.0,19835.0,1050100.69
2001-09-26,35.79,5.37,54.13,0.0,19835.0,1073704.34
2001-09-27,35.79,5.28,54.48,0.0,19835.0,1080646.59
2001-09-28,35.79,5.5,55.4,0.0,19835.0,1098894.79
2001-10-01,35.79,5.26,55.42,0.0,19835.0,1099291.49
2001-10-02,35.79,5.31,54.99,0.0,19835.0,1090762.4400000002
2001-10-03,35.79,5.31,54.27,0.0,19835.0,1076481.24
2001-10-04,35.79,5.14,54.45,0.0,19835.0,1080051.54
2001-10-05,35.79,5.22,55.49,0.0,19835.0,1100679.9400000002
2001-10-08,35.79,4.94,55.77,0.0,19835.0,1106233.74
2001-10-09,35.79,4.84,55.44,0.0,19835.0,1099688.19
2001-10-10,35.79,4.96,56.04,0.0,19835.0,1111589.19
2001-10-11,35.79,4.75,54.94,0.0,19835.0,1089770.69
2001-10-12,35.79,5.0,55.35,0.0,19835.0,1097903.04
2001-10-15,35.79,5.02,55.72,0.0,19835.0,1105241.99
2001-10-16,35.79,5.39,56.77,0.0,19835.0,1126068.74
2001-10-17,35.79,5.14,57.77,0.0,19835.0,1145903.74
2001-10-18,35.79,5.08,58.08,0.0,19835.0,1152052.59
2001-10-19,35.79,5.0,58.42,0.0,19835.0,1158796.49
2001-10-22,35.79,5.0,58.97,0.0,19835.0,1169705.74
2001-10-23,35.79,5.25,58.85,0.0,19835.0,1167325.54
2001-10-24,35.79,5.38,59.26,0.0,19835.0,1175457.89
2001-10-25,35.79,5.42,58.97,0.0,19835.0,1169705.74
2001-10-26,35.79,5.3,58.67,0.0,19835.0,1163755.24
2001-10-29,35.79,5.07,58.56,0.0,19835.0,1161573.3900000001
2001-10-30,35.79,5.11,57.85,0.0,19835.0,1147490.54
