,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,11.54,52.72,51.19,9484.0,9767.0,999980.75
2001-07-03,31.5,52.68,51.04,8537.0,10744.0,998134.4199999999
2001-07-05,21.57,52.35,50.91,7588.0,11720.0,993918.57
2001-07-06,9.99,50.4,50.41,6623.0,12685.0,973260.04
2001-07-09,5.27,50.22,52.12,5634.0,13638.0,993757.3099999999
2001-07-10,14.51,48.35,52.5,4612.0,14579.0,988402.21
2001-07-11,24.77,47.82,53.49,3567.0,15513.0,1000389.0800000001
2001-07-12,39.63,51.13,52.84,2588.0,16460.0,1002110.4700000001
2001-07-13,30.65,50.79,53.05,1599.0,17407.0,1004685.21
2001-07-16,26.98,48.34,53.73,552.0,18349.0,1012602.4299999999
2001-07-17,37.58,49.46,54.91,0.0,18846.0,1034871.44
2001-07-18,37.58,48.71,54.4,0.0,18846.0,1025259.98
2001-07-19,37.58,48.67,54.2,0.0,18846.0,1021490.78
2001-07-20,37.58,49.21,54.49,0.0,18846.0,1026956.12
2001-07-23,37.58,48.54,53.6,0.0,18846.0,1010183.1799999999
2001-07-24,37.58,47.58,52.71,0.0,18846.0,993410.24
2001-07-25,37.58,47.24,52.7,0.0,18846.0,993221.78
2001-07-26,37.58,48.91,53.19,0.0,18846.0,1002456.32
2001-07-27,37.58,49.28,53.01,0.0,18846.0,999064.0399999999
2001-07-30,37.58,49.33,52.92,0.0,18846.0,997367.9
2001-07-31,37.58,49.47,54.1,0.0,18846.0,1019606.1799999999
2001-08-01,37.58,51.6,53.8,0.0,18846.0,1013952.3799999999
2001-08-02,37.58,52.08,53.19,0.0,18846.0,1002456.32
2001-08-03,37.58,52.23,53.58,0.0,18846.0,1009806.2599999999
2001-08-06,37.58,50.65,53.36,0.0,18846.0,1005660.1399999999
2001-08-07,37.58,50.78,53.98,0.0,18846.0,1017344.6599999999
2001-08-08,37.58,48.17,53.71,0.0,18846.0,1012256.24
2001-08-09,37.58,46.39,53.86,0.0,18846.0,1015083.1399999999
2001-08-10,37.58,46.22,55.02,0.0,18846.0,1036944.5
2001-08-13,37.58,46.1,55.7,0.0,18846.0,1049759.78
2001-08-14,37.58,46.19,56.99,0.0,18846.0,1074071.12
2001-08-15,37.58,45.44,57.0,0.0,18846.0,1074259.58
2001-08-16,37.58,43.83,54.89,0.0,18846.0,1034494.52
2001-08-17,37.58,42.34,53.75,0.0,18846.0,1013010.08
2001-08-20,37.58,44.05,54.85,0.0,18846.0,1033740.6799999999
2001-08-21,37.58,43.33,54.3,0.0,18846.0,1023375.3799999999
2001-08-22,37.58,44.23,54.78,0.0,18846.0,1032421.46
2001-08-23,37.58,43.41,54.64,0.0,18846.0,1029783.02
2001-08-24,37.58,46.81,54.6,0.0,18846.0,1029029.1799999999
2001-08-27,37.58,46.6,54.35,0.0,18846.0,1024317.6799999999
2001-08-28,37.58,45.11,53.87,0.0,18846.0,1015271.5999999999
2001-08-29,37.58,44.53,53.28,0.0,18846.0,1004152.46
2001-08-30,37.58,43.25,53.09,0.0,18846.0,1000571.72
2001-08-31,37.58,44.12,52.71,0.0,18846.0,993410.24
2001-09-04,37.58,43.17,56.15,0.0,18846.0,1058240.48
2001-09-05,37.58,42.76,56.24,0.0,18846.0,1059936.62
2001-09-06,37.58,40.94,56.94,0.0,18846.0,1073128.82
2001-09-07,37.58,39.75,55.73,0.0,18846.0,1050325.16
2001-09-10,37.58,40.44,55.62,0.0,18846.0,1048252.0999999999
2001-09-17,37.58,35.15,55.82,0.0,18846.0,1052021.3
2001-09-18,37.58,34.9,54.5,0.0,18846.0,1027144.58
2001-09-19,37.58,34.73,53.54,0.0,18846.0,1009052.4199999999
2001-09-20,37.58,31.11,52.35,0.0,18846.0,986625.6799999999
2001-09-21,37.58,33.15,52.24,0.0,18846.0,984552.62
2001-09-24,37.58,35.19,52.41,0.0,18846.0,987756.44
