,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,4.45,33.13,51.19,15092.0,9767.0,999975.1399999999
2001-07-03,34.97,33.0,51.04,13583.0,10742.0,996545.6499999999
2001-07-05,43.08,33.97,50.91,12099.0,11732.0,1008322.2299999999
2001-07-06,42.52,33.71,50.41,10617.0,12723.0,999308.02
2001-07-09,16.86,32.75,52.12,9074.0,13693.0,1010869.5199999999
2001-07-10,44.9,33.23,52.5,7539.0,14664.0,1020425.87
2001-07-11,46.53,32.55,53.49,5958.0,15626.0,1029814.17
2001-07-12,22.34,32.41,52.84,4387.0,16590.0,1018820.61
2001-07-13,49.2,32.78,53.05,2826.0,17554.0,1023925.1799999999
2001-07-16,43.26,32.54,53.73,1236.0,18517.0,1035181.1099999999
2001-07-17,44.93,33.1,54.91,0.0,19262.0,1057721.3499999999
2001-07-18,44.93,32.98,54.4,0.0,19262.0,1047897.73
2001-07-19,44.93,33.18,54.2,0.0,19262.0,1044045.3300000001
2001-07-20,44.93,32.86,54.49,0.0,19262.0,1049631.31
2001-07-23,44.93,32.35,53.6,0.0,19262.0,1032488.1300000001
2001-07-24,44.93,30.28,52.71,0.0,19262.0,1015344.9500000001
2001-07-25,44.93,31.34,52.7,0.0,19262.0,1015152.3300000001
2001-07-26,44.93,32.58,53.19,0.0,19262.0,1024590.71
2001-07-27,44.93,33.09,53.01,0.0,19262.0,1021123.55
2001-07-30,44.93,33.15,52.92,0.0,19262.0,1019389.9700000001
2001-07-31,44.93,33.5,54.1,0.0,19262.0,1042119.1300000001
2001-08-01,44.93,33.61,53.8,0.0,19262.0,1036340.53
2001-08-02,44.93,33.8,53.19,0.0,19262.0,1024590.71
2001-08-03,44.93,33.51,53.58,0.0,19262.0,1032102.89
2001-08-06,44.93,32.77,53.36,0.0,19262.0,1027865.25
2001-08-07,44.93,32.45,53.98,0.0,19262.0,1039807.69
2001-08-08,44.93,31.75,53.71,0.0,19262.0,1034606.9500000001
2001-08-09,44.93,31.75,53.86,0.0,19262.0,1037496.25
2001-08-10,44.93,32.37,55.02,0.0,19262.0,1059840.17
2001-08-13,44.93,32.06,55.7,0.0,19262.0,1072938.33
2001-08-14,44.93,32.3,56.99,0.0,19262.0,1097786.31
2001-08-15,44.93,32.5,57.0,0.0,19262.0,1097978.93
2001-08-16,44.93,32.3,54.89,0.0,19262.0,1057336.1099999999
2001-08-17,44.93,31.91,53.75,0.0,19262.0,1035377.43
2001-08-20,44.93,31.75,54.85,0.0,19262.0,1056565.63
2001-08-21,44.93,31.62,54.3,0.0,19262.0,1045971.53
2001-08-22,44.93,31.74,54.78,0.0,19262.0,1055217.29
2001-08-23,44.93,32.12,54.64,0.0,19262.0,1052520.6099999999
2001-08-24,44.93,32.81,54.6,0.0,19262.0,1051750.13
2001-08-27,44.93,33.05,54.35,0.0,19262.0,1046934.6300000001
2001-08-28,44.93,32.52,53.87,0.0,19262.0,1037688.87
2001-08-29,44.93,32.85,53.28,0.0,19262.0,1026324.29
2001-08-30,44.93,32.21,53.09,0.0,19262.0,1022664.5100000001
2001-08-31,44.93,32.55,52.71,0.0,19262.0,1015344.9500000001
2001-09-04,44.93,32.61,56.15,0.0,19262.0,1081606.23
2001-09-05,44.93,32.62,56.24,0.0,19262.0,1083339.81
2001-09-06,44.93,31.97,56.94,0.0,19262.0,1096823.21
2001-09-07,44.93,31.47,55.73,0.0,19262.0,1073516.19
2001-09-10,44.93,31.46,55.62,0.0,19262.0,1071397.3699999999
2001-09-17,44.93,30.34,55.82,0.0,19262.0,1075249.77
2001-09-18,44.93,28.29,54.5,0.0,19262.0,1049823.93
2001-09-19,44.93,26.79,53.54,0.0,19262.0,1031332.41
2001-09-20,44.93,26.52,52.35,0.0,19262.0,1008410.6300000001
2001-09-21,44.93,26.0,52.24,0.0,19262.0,1006291.81
2001-09-24,44.93,26.31,52.41,0.0,19262.0,1009566.35
2001-09-25,44.93,25.54,52.94,0.0,19262.0,1019775.21
2001-09-26,44.93,24.99,54.13,0.0,19262.0,1042696.9900000001
2001-09-27,44.93,25.51,54.48,0.0,19262.0,1049438.69
2001-09-28,44.93,27.3,55.4,0.0,19262.0,1067159.73
2001-10-01,44.93,27.0,55.42,0.0,19262.0,1067544.97
2001-10-02,44.93,27.42,54.99,0.0,19262.0,1059262.31
2001-10-03,44.93,28.32,54.27,0.0,19262.0,1045393.6700000002
2001-10-04,44.93,28.94,54.45,0.0,19262.0,1048860.83
2001-10-05,44.93,28.85,55.49,0.0,19262.0,1068893.31
2001-10-08,44.93,29.35,55.77,0.0,19262.0,1074286.67
2001-10-09,44.93,29.5,55.44,0.0,19262.0,1067930.21
2001-10-10,44.93,30.25,56.04,0.0,19262.0,1079487.41
2001-10-11,44.93,30.43,54.94,0.0,19262.0,1058299.21
2001-10-12,44.93,30.25,55.35,0.0,19262.0,1066196.63
2001-10-15,44.93,29.15,55.72,0.0,19262.0,1073323.5699999998
2001-10-16,44.93,29.99,56.77,0.0,19262.0,1093548.67
2001-10-17,44.93,28.74,57.77,0.0,19262.0,1112810.67
2001-10-18,44.93,27.55,58.08,0.0,19262.0,1118781.89
2001-10-19,44.93,28.45,58.42,0.0,19262.0,1125330.97
2001-10-22,44.93,28.76,58.97,0.0,19262.0,1135925.0699999998
2001-10-23,44.93,28.05,58.85,0.0,19262.0,1133613.63
