,cash,cost_hi,cost_lo,num_hi,num_lo,total
2001-07-02,7.64,21.33,11.96,23440.0,41802.0,999934.76
2001-07-03,1.26,21.42,12.05,21093.0,45974.0,1005800.0200000001
2001-07-05,5.57,22.07,12.17,18771.0,50184.0,1025020.82
2001-07-06,9.27,22.34,12.16,16467.0,54416.0,1029580.6100000001
2001-07-09,9.45,21.48,12.18,14101.0,58588.0,1016500.7699999999
2001-07-10,7.97,21.12,12.1,11718.0,62747.0,1006730.83
2001-07-11,8.67,20.81,12.01,9322.0,66898.0,997444.47
2001-07-12,3.11,20.64,11.87,6933.0,71052.0,986487.47
2001-07-13,1.59,20.77,11.7,4586.0,75218.0,975303.4099999999
2001-07-16,10.34,20.01,11.52,2192.0,79375.0,958272.26
2001-07-17,7.44,20.06,11.48,0.0,83205.0,955200.84
2001-07-18,7.44,19.67,11.35,0.0,83205.0,944384.19
2001-07-19,7.44,20.12,11.24,0.0,83205.0,935231.64
2001-07-20,7.44,20.73,11.1,0.0,83205.0,923582.94
2001-07-23,7.44,20.95,10.76,0.0,83205.0,895293.2399999999
2001-07-24,7.44,20.3,10.56,0.0,83205.0,878652.24
2001-07-25,7.44,21.89,10.78,0.0,83205.0,896957.3399999999
2001-07-26,7.44,22.5,10.77,0.0,83205.0,896125.2899999999
2001-07-27,7.44,22.84,10.82,0.0,83205.0,900285.5399999999
2001-07-30,7.44,22.75,10.94,0.0,83205.0,910270.1399999999
2001-07-31,7.44,22.48,11.07,0.0,83205.0,921086.7899999999
2001-08-01,7.44,22.05,11.27,0.0,83205.0,937727.7899999999
2001-08-02,7.44,22.46,11.52,0.0,83205.0,958529.0399999999
2001-08-03,7.44,22.07,11.68,0.0,83205.0,971841.84
2001-08-06,7.44,22.3,11.46,0.0,83205.0,953536.74
2001-08-07,7.44,21.93,11.62,0.0,83205.0,966849.5399999999
2001-08-08,7.44,20.79,11.4,0.0,83205.0,948544.44
2001-08-09,7.44,21.21,11.52,0.0,83205.0,958529.0399999999
2001-08-10,7.44,21.49,11.52,0.0,83205.0,958529.0399999999
2001-08-13,7.44,21.8,11.48,0.0,83205.0,955200.84
2001-08-14,7.44,22.22,11.52,0.0,83205.0,958529.0399999999
2001-08-15,7.44,23.43,11.48,0.0,83205.0,955200.84
2001-08-16,7.44,23.14,11.54,0.0,83205.0,960193.1399999999
2001-08-17,7.44,22.72,11.64,0.0,83205.0,968513.64
2001-08-20,7.44,22.17,11.74,0.0,83205.0,976834.14
2001-08-21,7.44,22.11,11.71,0.0,83205.0,974337.99
2001-08-22,7.44,21.79,11.77,0.0,83205.0,979330.2899999999
2001-08-23,7.44,21.2,11.82,0.0,83205.0,983490.5399999999
2001-08-24,7.44,21.03,11.8,0.0,83205.0,981826.4400000001
2001-08-27,7.44,21.21,11.83,0.0,83205.0,984322.59
2001-08-28,7.44,21.24,11.9,0.0,83205.0,990146.94
2001-08-29,7.44,20.89,11.96,0.0,83205.0,995139.24
2001-08-30,7.44,20.42,11.94,0.0,83205.0,993475.1399999999
2001-08-31,7.44,20.31,12.05,0.0,83205.0,1002627.6900000001
2001-09-04,7.44,20.44,12.09,0.0,83205.0,1005955.8899999999
2001-09-05,7.44,20.38,12.12,0.0,83205.0,1008452.0399999999
2001-09-06,7.44,20.61,12.18,0.0,83205.0,1013444.34
2001-09-07,7.44,20.77,12.12,0.0,83205.0,1008452.0399999999
2001-09-10,7.44,20.82,12.18,0.0,83205.0,1013444.34
2001-09-17,7.44,20.3,12.02,0.0,83205.0,1000131.5399999999
2001-09-18,7.44,19.15,11.8,0.0,83205.0,981826.4400000001
2001-09-19,7.44,18.12,11.5,0.0,83205.0,956864.94
2001-09-20,7.44,18.2,11.3,0.0,83205.0,940223.9400000001
2001-09-21,7.44,18.31,11.09,0.0,83205.0,922750.8899999999
2001-09-24,7.44,17.03,10.92,0.0,83205.0,908606.0399999999
2001-09-25,7.44,16.91,10.88,0.0,83205.0,905277.84
2001-09-26,7.44,16.77,10.82,0.0,83205.0,900285.5399999999
2001-09-27,7.44,17.42,11.02,0.0,83205.0,916926.5399999999
2001-09-28,7.44,18.61,11.25,0.0,83205.0,936063.69
2001-10-01,7.44,18.13,11.3,0.0,83205.0,940223.9400000001
2001-10-02,7.44,18.32,11.38,0.0,83205.0,946880.34
2001-10-03,7.44,18.5,11.4,0.0,83205.0,948544.44
2001-10-04,7.44,19.71,11.76,0.0,83205.0,978498.2399999999
2001-10-05,7.44,19.64,11.8,0.0,83205.0,981826.4400000001
2001-10-08,7.44,20.0,11.2,0.0,83205.0,931903.4399999998
2001-10-09,7.44,20.11,11.02,0.0,83205.0,916926.5399999999
2001-10-10,7.44,20.99,10.97,0.0,83205.0,912766.29
2001-10-11,7.44,21.16,11.06,0.0,83205.0,920254.74
2001-10-12,7.44,21.18,11.01,0.0,83205.0,916094.4899999999
2001-10-15,7.44,20.5,10.95,0.0,83205.0,911102.1899999998
2001-10-16,7.44,21.24,11.0,0.0,83205.0,915262.44
2001-10-17,7.44,21.08,10.94,0.0,83205.0,910270.1399999999
2001-10-18,7.44,20.27,10.65,0.0,83205.0,886140.69
2001-10-19,7.44,20.79,10.82,0.0,83205.0,900285.5399999999
2001-10-22,7.44,21.14,10.74,0.0,83205.0,893629.14
2001-10-23,7.44,20.9,10.7,0.0,83205.0,890300.9399999998
2001-10-24,7.44,21.36,10.46,0.0,83205.0,870331.74
2001-10-25,7.44,22.01,10.66,0.0,83205.0,886972.74
2001-10-26,7.44,22.91,10.84,0.0,83205.0,901949.6399999999
