Date,Open,High,Low,Close,Volume
28-Oct-16,22.50,22.81,22.40,22.47,654220
27-Oct-16,22.96,23.13,22.32,22.52,811114
26-Oct-16,23.11,23.30,22.95,22.99,612622
25-Oct-16,23.64,23.73,23.05,23.19,515637
24-Oct-16,23.28,23.62,23.27,23.54,388330
21-Oct-16,23.00,23.20,22.86,23.20,410090
20-Oct-16,23.25,23.29,23.08,23.11,483481
19-Oct-16,22.69,23.34,22.69,23.22,670786
18-Oct-16,23.05,23.17,22.58,22.63,941884
17-Oct-16,22.68,23.05,22.62,22.92,926430
14-Oct-16,22.65,23.28,22.33,22.77,1915855
13-Oct-16,21.79,22.20,21.50,22.09,970232
12-Oct-16,22.47,22.69,22.26,22.49,699542
11-Oct-16,23.82,23.82,22.18,22.40,1028899
10-Oct-16,22.51,22.91,22.51,22.72,1202010
7-Oct-16,23.16,23.21,22.42,22.43,1332856
6-Oct-16,23.09,23.42,22.81,23.30,2079126
5-Oct-16,23.87,23.99,22.92,23.20,3040952
4-Oct-16,24.65,24.70,23.62,23.71,2808574
3-Oct-16,25.92,26.00,24.22,24.29,8055058
30-Sep-16,28.93,28.99,28.57,28.61,1914057
29-Sep-16,28.71,29.00,28.54,28.93,926098
28-Sep-16,28.57,28.92,28.41,28.85,764625
27-Sep-16,28.30,28.53,28.19,28.41,568899
26-Sep-16,27.93,28.41,27.92,28.30,696104
23-Sep-16,28.11,28.22,27.92,28.10,483179
22-Sep-16,28.22,28.57,28.03,28.24,1230597
21-Sep-16,26.66,27.60,26.54,27.57,1078047
20-Sep-16,26.27,26.47,26.06,26.42,638307
19-Sep-16,25.53,26.21,25.50,26.02,725277
16-Sep-16,26.44,26.44,25.35,25.45,770193
15-Sep-16,25.18,25.63,25.18,25.54,577996
14-Sep-16,25.49,26.02,25.01,25.17,513931
13-Sep-16,25.26,25.60,24.92,25.01,793814
12-Sep-16,25.02,25.52,25.00,25.39,438307
9-Sep-16,25.64,25.84,25.05,25.18,889667
8-Sep-16,25.98,26.24,25.76,25.86,778048
7-Sep-16,26.38,26.51,25.92,26.12,833048
6-Sep-16,26.75,26.98,26.24,26.41,851336
2-Sep-16,26.97,27.18,26.45,26.57,850211
1-Sep-16,27.21,27.58,26.45,26.85,1163940
31-Aug-16,29.37,29.38,26.61,27.08,2863515
30-Aug-16,28.66,29.68,28.66,29.41,1735001
29-Aug-16,28.56,28.95,28.56,28.76,482941
26-Aug-16,28.67,28.84,28.42,28.51,505379
25-Aug-16,28.45,28.88,28.41,28.69,520346
24-Aug-16,28.93,29.15,28.35,28.50,949399
23-Aug-16,29.10,29.28,28.85,28.93,759395
22-Aug-16,29.05,29.20,28.63,29.04,707492
19-Aug-16,29.38,29.40,29.03,29.11,687796
18-Aug-16,29.26,29.56,29.14,29.43,522368
17-Aug-16,29.34,29.60,29.25,29.35,827194
16-Aug-16,29.52,29.80,29.29,29.45,746121
15-Aug-16,29.12,29.53,28.91,29.43,698749
12-Aug-16,29.00,29.35,28.85,29.12,508193
11-Aug-16,28.63,29.44,28.63,29.12,842984
10-Aug-16,28.54,28.76,28.18,28.68,774562
9-Aug-16,28.73,29.07,28.53,28.69,1110292
8-Aug-16,29.25,29.46,28.63,28.74,1439964
5-Aug-16,29.60,30.15,28.48,29.26,2508303
4-Aug-16,28.72,29.15,28.51,28.95,1418135
3-Aug-16,28.80,29.00,28.40,28.72,889659
2-Aug-16,29.18,29.42,28.53,28.84,848496
1-Aug-16,29.21,29.58,28.94,29.16,772614
29-Jul-16,28.60,29.08,28.05,28.96,1149059
28-Jul-16,28.80,28.85,28.42,28.49,801068
27-Jul-16,28.82,28.99,28.57,28.78,819540
26-Jul-16,28.68,28.92,28.39,28.66,664420
25-Jul-16,28.53,28.74,28.41,28.50,764476
22-Jul-16,28.14,28.65,27.87,28.48,869829
21-Jul-16,28.20,28.44,28.00,28.20,824074
20-Jul-16,28.17,28.71,27.82,28.26,1022712
19-Jul-16,28.00,28.47,27.63,28.12,1144754
18-Jul-16,27.77,28.42,27.43,27.99,1576529
15-Jul-16,27.70,27.86,27.12,27.20,701192
14-Jul-16,27.17,27.74,27.10,27.65,1113874
13-Jul-16,27.04,27.33,26.71,27.01,1362952
12-Jul-16,28.02,28.18,26.39,27.00,2189434
11-Jul-16,27.60,28.58,27.50,27.66,2054625
8-Jul-16,26.99,27.80,26.70,27.30,3315910
7-Jul-16,25.09,25.85,25.09,25.77,994915
6-Jul-16,25.57,25.59,24.95,25.05,1308183
5-Jul-16,24.67,25.13,24.46,25.10,625772
1-Jul-16,25.00,25.00,24.65,24.89,628072
30-Jun-16,24.38,24.94,24.09,24.88,1180768
29-Jun-16,23.89,24.30,23.66,24.22,778066
28-Jun-16,23.10,23.92,23.10,23.55,796578
27-Jun-16,22.74,23.29,22.53,22.76,895356
24-Jun-16,22.43,23.41,22.25,22.98,1501376
23-Jun-16,23.95,24.08,23.70,23.96,587084
22-Jun-16,23.24,23.88,23.22,23.67,844567
21-Jun-16,23.30,23.40,22.96,23.12,315205
20-Jun-16,23.16,23.59,22.93,23.35,621896
17-Jun-16,22.70,23.09,22.32,22.93,1284333
16-Jun-16,22.63,22.69,22.20,22.62,516141
15-Jun-16,22.82,22.96,22.56,22.77,413629
14-Jun-16,22.65,22.97,22.43,22.66,544264
13-Jun-16,22.73,22.96,22.40,22.75,604144
10-Jun-16,23.14,23.22,22.65,22.76,678936
9-Jun-16,23.47,23.76,23.23,23.30,835849
8-Jun-16,23.18,23.55,23.08,23.52,629782
7-Jun-16,23.00,23.31,22.88,23.08,632691
6-Jun-16,22.76,23.04,22.75,22.97,663883
3-Jun-16,22.87,22.94,22.57,22.76,795682
2-Jun-16,22.26,22.88,22.05,22.85,732557
1-Jun-16,22.31,22.40,21.98,22.32,759656
31-May-16,22.01,22.42,21.82,22.37,632654
27-May-16,22.01,22.16,21.83,21.96,572963
26-May-16,21.94,22.07,21.77,22.02,536752
25-May-16,21.95,22.16,21.88,21.94,663146
24-May-16,21.51,21.92,21.47,21.86,773436
23-May-16,21.74,21.77,21.38,21.45,636096
20-May-16,21.15,21.75,21.03,21.70,959221
19-May-16,20.60,21.20,20.31,21.12,965838
18-May-16,20.64,21.27,20.48,20.78,1890677
17-May-16,19.42,20.93,19.37,20.70,2554620
16-May-16,19.39,19.96,19.34,19.37,1186836
13-May-16,19.64,19.72,19.31,19.37,578184
12-May-16,19.87,19.99,19.32,19.70,1006556
11-May-16,19.33,20.00,19.20,19.79,1204931
10-May-16,18.66,19.41,18.48,19.41,1042488
9-May-16,18.09,18.67,18.05,18.56,674586
6-May-16,18.00,18.39,17.76,18.14,1175600
5-May-16,18.24,19.13,17.76,18.31,2697823
4-May-16,17.61,17.75,17.18,17.66,1405186
3-May-16,18.28,18.37,17.57,17.80,820030
2-May-16,18.25,18.60,18.13,18.53,498599
29-Apr-16,18.13,18.52,18.11,18.26,568303
28-Apr-16,18.41,18.69,18.08,18.11,838216
27-Apr-16,18.36,18.71,18.22,18.61,701008
26-Apr-16,18.14,18.48,18.07,18.43,547831
25-Apr-16,18.52,18.72,18.03,18.15,779998
22-Apr-16,18.54,18.80,18.45,18.67,641946
21-Apr-16,19.01,19.10,18.57,18.67,787463
20-Apr-16,18.68,18.90,18.43,18.54,715532
19-Apr-16,18.51,18.93,18.29,18.63,893160
18-Apr-16,18.00,18.84,17.80,18.49,2236664
15-Apr-16,19.21,19.39,18.89,19.14,481623
14-Apr-16,19.57,19.73,19.28,19.32,544813
13-Apr-16,18.99,19.63,18.92,19.52,885346
12-Apr-16,18.52,19.00,18.39,18.83,609477
11-Apr-16,18.46,18.77,18.39,18.46,595667
8-Apr-16,18.86,18.93,18.24,18.30,658478
7-Apr-16,18.47,18.95,18.44,18.61,710242
6-Apr-16,18.49,18.77,18.45,18.68,720082
5-Apr-16,18.52,18.66,18.41,18.54,637107
4-Apr-16,19.00,19.21,18.60,18.62,833440
1-Apr-16,19.42,19.60,19.00,19.05,1004532
31-Mar-16,19.58,19.89,19.38,19.63,898482
30-Mar-16,19.72,19.83,19.42,19.62,1130190
29-Mar-16,18.35,19.53,18.28,19.52,1378312
28-Mar-16,18.32,18.60,18.20,18.31,470588
24-Mar-16,18.28,18.41,18.10,18.27,634235
23-Mar-16,18.63,18.76,18.37,18.38,949418
22-Mar-16,18.89,19.21,18.71,18.73,631580
21-Mar-16,19.00,19.47,18.78,18.96,814474
18-Mar-16,18.98,19.21,18.94,19.08,1460860
17-Mar-16,18.50,19.10,18.44,18.88,1342305
16-Mar-16,18.22,18.83,18.20,18.50,1135546
15-Mar-16,19.17,19.29,18.32,18.37,1333854
14-Mar-16,19.45,19.53,19.16,19.33,794468
11-Mar-16,19.46,19.72,19.22,19.53,807266
10-Mar-16,19.68,19.91,19.16,19.33,950489
9-Mar-16,19.63,19.82,19.40,19.54,665462
8-Mar-16,19.81,20.22,19.52,19.54,1324704
7-Mar-16,19.40,20.58,19.34,19.85,2110712
4-Mar-16,19.44,19.85,19.17,19.45,1514389
3-Mar-16,19.48,19.74,19.12,19.47,1258243
2-Mar-16,19.39,19.78,19.25,19.52,1595554
1-Mar-16,19.11,19.57,18.52,19.44,2665757
29-Feb-16,20.52,20.69,19.30,19.38,7322001
26-Feb-16,17.28,17.80,17.27,17.48,1325543
25-Feb-16,17.20,17.37,16.84,17.21,978938
24-Feb-16,16.80,17.24,16.30,17.22,950316
23-Feb-16,17.13,17.27,16.96,17.00,678761
22-Feb-16,17.24,17.32,17.05,17.26,1114044
19-Feb-16,17.03,17.13,16.71,17.12,936657
18-Feb-16,17.20,17.39,16.64,17.11,801626
17-Feb-16,16.40,17.23,16.20,17.13,1458625
16-Feb-16,15.63,16.35,15.41,16.32,1029624
12-Feb-16,15.55,15.68,15.00,15.43,800186
11-Feb-16,15.09,15.72,15.03,15.41,1122988
